# Position (cm), Field Strength (mT)
0.000000000000000000e+00,7.174149999999999636e+03
5.000000000000000000e-01,7.175970000000000255e+03
1.000000000000000000e+00,7.175970000000000255e+03
1.500000000000000000e+00,7.176880000000000109e+03
2.000000000000000000e+00,7.176579999999999927e+03
2.500000000000000000e+00,7.176880000000000109e+03
3.000000000000000000e+00,7.176880000000000109e+03
3.500000000000000000e+00,7.177180000000000291e+03
4.000000000000000000e+00,7.177180000000000291e+03
4.500000000000000000e+00,7.177489999999999782e+03
5.000000000000000000e+00,7.177789999999999964e+03
5.500000000000000000e+00,7.177789999999999964e+03
6.000000000000000000e+00,7.176880000000000109e+03
6.500000000000000000e+00,7.175369999999999891e+03
7.000000000000000000e+00,7.172630000000000109e+03
7.500000000000000000e+00,7.167479999999999563e+03
8.000000000000000000e+00,7.159590000000000146e+03
8.500000000000000000e+00,7.152909999999999854e+03
9.000000000000000000e+00,7.135319999999999709e+03
9.500000000000000000e+00,7.108920000000000073e+03
1.000000000000000000e+01,7.075239999999999782e+03
1.050000000000000000e+01,7.027909999999999854e+03
1.100000000000000000e+01,6.962680000000000291e+03
1.150000000000000000e+01,6.882579999999999927e+03
1.200000000000000000e+01,6.782770000000000437e+03
1.250000000000000000e+01,6.659279999999999745e+03
1.300000000000000000e+01,6.515779999999999745e+03
1.350000000000000000e+01,6.351340000000000146e+03
1.400000000000000000e+01,6.159279999999999745e+03
1.450000000000000000e+01,5.945090000000000146e+03
1.500000000000000000e+01,5.708430000000000291e+03
1.550000000000000000e+01,5.454789999999999964e+03
1.600000000000000000e+01,5.179310000000000400e+03
1.650000000000000000e+01,4.892289999999999964e+03
1.700000000000000000e+01,4.598909999999999854e+03
1.750000000000000000e+01,4.294600000000000364e+03
1.800000000000000000e+01,3.993019999999999982e+03
1.850000000000000000e+01,3.704489999999999782e+03
1.900000000000000000e+01,3.417780000000000200e+03
1.950000000000000000e+01,3.160800000000000182e+03
2.000000000000000000e+01,2.909590000000000146e+03
2.050000000000000000e+01,2.667170000000000073e+03
2.100000000000000000e+01,2.455860000000000127e+03
2.150000000000000000e+01,2.256829999999999927e+03
2.200000000000000000e+01,2.083280000000000200e+03
2.250000000000000000e+01,1.909740000000000009e+03
2.300000000000000000e+01,1.757740000000000009e+03
2.350000000000000000e+01,1.614529999999999973e+03
2.400000000000000000e+01,1.478910000000000082e+03
2.450000000000000000e+01,1.361950000000000045e+03
2.500000000000000000e+01,1.253640000000000100e+03
2.550000000000000000e+01,1.156400000000000091e+03
2.600000000000000000e+01,1.066900000000000091e+03
2.650000000000000000e+01,9.918099999999999454e+02
2.700000000000000000e+01,9.208099999999999454e+02
2.750000000000000000e+01,8.520900000000000318e+02
2.800000000000000000e+01,7.915700000000000500e+02
2.850000000000000000e+01,7.378600000000000136e+02
2.900000000000000000e+01,6.876499999999999773e+02
2.950000000000000000e+01,6.422899999999999636e+02
3.000000000000000000e+01,6.016399999999999864e+02
3.050000000000000000e+01,5.646200000000000045e+02
3.100000000000000000e+01,5.303400000000000318e+02
3.150000000000000000e+01,4.980299999999999727e+02
3.200000000000000000e+01,4.676899999999999977e+02
3.250000000000000000e+01,4.423500000000000227e+02
3.300000000000000000e+01,4.164100000000000250e+02
3.350000000000000000e+01,3.924399999999999977e+02
3.400000000000000000e+01,3.698399999999999750e+02
3.450000000000000000e+01,3.436000000000000227e+02
3.500000000000000000e+01,3.301000000000000227e+02
3.550000000000000000e+01,3.115899999999999750e+02
3.600000000000000000e+01,2.968799999999999955e+02
3.650000000000000000e+01,2.845899999999999750e+02
3.700000000000000000e+01,2.692699999999999818e+02
3.750000000000000000e+01,2.571299999999999955e+02
3.800000000000000000e+01,2.445399999999999920e+02
3.850000000000000000e+01,2.331599999999999966e+02
3.900000000000000000e+01,2.223899999999999864e+02
3.950000000000000000e+01,2.120800000000000125e+02
4.000000000000000000e+01,2.020600000000000023e+02
4.050000000000000000e+01,1.934199999999999875e+02
4.100000000000000000e+01,1.844699999999999989e+02
4.150000000000000000e+01,1.768799999999999955e+02
4.200000000000000000e+01,1.694499999999999886e+02
4.250000000000000000e+01,1.621699999999999875e+02
4.300000000000000000e+01,1.553400000000000034e+02
4.350000000000000000e+01,1.488199999999999932e+02
4.400000000000000000e+01,1.430500000000000114e+02
4.450000000000000000e+01,1.375900000000000034e+02
4.500000000000000000e+01,1.319799999999999898e+02
4.550000000000000000e+01,1.268199999999999932e+02
4.600000000000000000e+01,1.222699999999999960e+02
4.650000000000000000e+01,1.174200000000000017e+02
4.700000000000000000e+01,1.133199999999999932e+02
4.750000000000000000e+01,1.090699999999999932e+02
4.800000000000000000e+01,1.052800000000000011e+02
4.850000000000000000e+01,1.017900000000000063e+02
4.900000000000000000e+01,9.815000000000000568e+01
4.950000000000000000e+01,9.465999999999999659e+01
5.000000000000000000e+01,9.131999999999999318e+01
5.050000000000000000e+01,8.829000000000000625e+01
5.100000000000000000e+01,8.509999999999999432e+01
5.150000000000000000e+01,8.237000000000000455e+01
5.200000000000000000e+01,7.964000000000000057e+01
5.250000000000000000e+01,7.706000000000000227e+01
5.300000000000000000e+01,7.448000000000000398e+01
5.350000000000000000e+01,7.220999999999999375e+01
5.400000000000000000e+01,6.993000000000000682e+01
5.450000000000000000e+01,6.781000000000000227e+01
5.500000000000000000e+01,6.568999999999999773e+01
5.550000000000000000e+01,6.356000000000000227e+01
5.600000000000000000e+01,6.174000000000000199e+01
5.650000000000000000e+01,5.992000000000000171e+01
5.700000000000000000e+01,5.810000000000000142e+01
5.750000000000000000e+01,5.642999999999999972e+01
5.800000000000000000e+01,5.475999999999999801e+01
5.850000000000000000e+01,5.325000000000000000e+01
5.900000000000000000e+01,5.172999999999999687e+01
5.950000000000000000e+01,5.036999999999999744e+01
6.000000000000000000e+01,4.900000000000000000e+01
6.050000000000000000e+01,4.763000000000000256e+01
6.100000000000000000e+01,4.627000000000000313e+01
6.150000000000000000e+01,4.504999999999999716e+01
6.200000000000000000e+01,4.384000000000000341e+01
6.250000000000000000e+01,4.263000000000000256e+01
6.300000000000000000e+01,4.157000000000000028e+01
6.350000000000000000e+01,4.065999999999999659e+01
6.400000000000000000e+01,3.959000000000000341e+01
6.450000000000000000e+01,3.867999999999999972e+01
6.500000000000000000e+01,3.761999999999999744e+01
6.550000000000000000e+01,3.656000000000000227e+01
6.600000000000000000e+01,3.564999999999999858e+01
6.650000000000000000e+01,3.489000000000000057e+01
6.700000000000000000e+01,3.413000000000000256e+01
6.750000000000000000e+01,3.336999999999999744e+01
6.800000000000000000e+01,3.231000000000000227e+01
6.850000000000000000e+01,3.155000000000000071e+01
6.900000000000000000e+01,3.094999999999999929e+01
6.950000000000000000e+01,3.019000000000000128e+01
7.000000000000000000e+01,2.957999999999999829e+01
7.050000000000000000e+01,2.882000000000000028e+01
7.100000000000000000e+01,2.821999999999999886e+01
7.150000000000000000e+01,2.760999999999999943e+01
7.200000000000000000e+01,2.700000000000000000e+01
7.250000000000000000e+01,2.639999999999999858e+01
7.300000000000000000e+01,2.578999999999999915e+01
7.350000000000000000e+01,2.532999999999999829e+01
7.400000000000000000e+01,2.473000000000000043e+01
7.450000000000000000e+01,2.412000000000000099e+01
7.500000000000000000e+01,2.351000000000000156e+01
7.550000000000000000e+01,2.305999999999999872e+01
7.600000000000000000e+01,2.260000000000000142e+01
7.650000000000000000e+01,2.230000000000000071e+01
7.700000000000000000e+01,2.169000000000000128e+01
7.750000000000000000e+01,2.123999999999999844e+01
7.800000000000000000e+01,2.092999999999999972e+01
7.850000000000000000e+01,2.048000000000000043e+01
7.900000000000000000e+01,2.017999999999999972e+01
7.950000000000000000e+01,1.971999999999999886e+01
8.000000000000000000e+01,1.957000000000000028e+01
